message_id,conversation_id,time_vietnam,sender_id,sender,message_type,message_type_code,content,file_media_names,local_media,original_content_json
8221581586542,8058780570295694818,2026-09-03T14:35:56.576+07:00,1622841872456638385,Lực Hoàng,Văn bản,1,"alo a, a hỏi Vân về bàn giao số liệu, account các thứ cho kế toán mới bên e. Vân bảo liên hệ a, a xem hỗ trợ giúp e bàn giao nhé a",,,"""alo a, a hỏi Vân về bàn giao số liệu, account các thứ cho kế toán mới bên e. Vân bảo liên hệ a, a xem hỗ trợ giúp e bàn giao nhé a"""
8221585592396,8058780570295694818,2026-09-03T14:36:56.312+07:00,8058780570295694818,Thuế Hạ Long,Văn bản,1,e ko hiểu gì nên càng làm càng sai,,,"""e ko hiểu gì nên càng làm càng sai"""
8221586215304,8058780570295694818,2026-09-03T14:37:03.383+07:00,1622841872456638385,Lực Hoàng,Văn bản,1,e thuê kế toán mới r mà a,,,"""e thuê kế toán mới r mà a"""
8221587029867,8058780570295694818,2026-09-03T14:37:15.305+07:00,1622841872456638385,Lực Hoàng,Văn bản,1,"họ có nghiệp vụ họ làm giúp e, a bàn giao cho e số liệu vs tài khoản là đc",,,"""họ có nghiệp vụ họ làm giúp e, a bàn giao cho e số liệu vs tài khoản là đc"""
8221587088986,8058780570295694818,2026-09-03T14:37:17.762+07:00,8058780570295694818,Thuế Hạ Long,Văn bản,1,"ko ai đi bàn giao giữa năm cả, kế toán mới nhận thì cũng phải làm lại từ đầu năm",,,"""ko ai đi bàn giao giữa năm cả, kế toán mới nhận thì cũng phải làm lại từ đầu năm"""
8221587828153,8058780570295694818,2026-09-03T14:37:28.471+07:00,8058780570295694818,Thuế Hạ Long,Văn bản,1,vì kỳ kế toán là 1/1-31/12,,,"""vì kỳ kế toán là 1/1-31/12"""
8221589686445,8058780570295694818,2026-09-03T14:37:55.448+07:00,8058780570295694818,Thuế Hạ Long,Văn bản,1,đó là a nói để e biết bài học kinh nghiệm,,,"""đó là a nói để e biết bài học kinh nghiệm"""
8221590098462,8058780570295694818,2026-09-03T14:38:01.336+07:00,8058780570295694818,Thuế Hạ Long,Văn bản,1,chứ ko phải ko bàn giao,,,"""chứ ko phải ko bàn giao"""
8221592493373,8058780570295694818,2026-09-03T14:38:34.109+07:00,1622841872456638385,Lực Hoàng,Văn bản,1,dạ,,,"""dạ"""
8221592868403,8058780570295694818,2026-09-03T14:38:41.445+07:00,8058780570295694818,Thuế Hạ Long,Văn bản,1,"bây giờ bàn giao đủ sổ sách như a nói, đối với kế toán mới ko có tác dụng nhiều",,,"""bây giờ bàn giao đủ sổ sách như a nói, đối với kế toán mới ko có tác dụng nhiều"""
8221593287930,8058780570295694818,2026-09-03T14:38:47.403+07:00,8058780570295694818,Thuế Hạ Long,Văn bản,1,bạn ấy vẫn phải làm lại từ 1/1,,,"""bạn ấy vẫn phải làm lại từ 1/1"""
8221597389155,8058780570295694818,2026-09-03T14:39:46.654+07:00,8058780570295694818,Thuế Hạ Long,Văn bản,1,và vs phương án này e phải trả hết 100% phí còn thiếu đến hết quý 2,,,"""và vs phương án này e phải trả hết 100% phí còn thiếu đến hết quý 2"""
